beta1,beta2,beta3,mu,omega,theta_0
2.9840284301899374,-0.7581958585418761,-0.24928815877996385,0.5951286647468805,0.5229780608788133,0.8247384028509259
0.5614715158008039,-0.7581958585418761,-0.24928815877996385,0.5951286647468805,0.5229780608788133,0.8247384028509259
2.9840284301899374,-0.6308838916942477,-0.24928815877996385,0.5951286647468805,0.5229780608788133,0.8247384028509259
2.9840284301899374,-0.7581958585418761,-0.29802354137413206,0.5951286647468805,0.5229780608788133,0.8247384028509259
2.9840284301899374,-0.7581958585418761,-0.24928815877996385,0.3929265928454697,0.5229780608788133,0.8247384028509259
2.9840284301899374,-0.7581958585418761,-0.24928815877996385,0.5951286647468805,1.0557365100830793,0.8247384028509259
2.9840284301899374,-0.7581958585418761,-0.24928815877996385,0.5951286647468805,0.5229780608788133,0.9940491383895278
2.9840284301899374,-0.6308838916942477,-0.29802354137413206,0.3929265928454697,1.0557365100830793,0.9940491383895278
0.5614715158008039,-0.7581958585418761,-0.29802354137413206,0.3929265928454697,1.0557365100830793,0.9940491383895278
0.5614715158008039,-0.6308838916942477,-0.24928815877996385,0.3929265928454697,1.0557365100830793,0.9940491383895278
0.5614715158008039,-0.6308838916942477,-0.29802354137413206,0.5951286647468805,1.0557365100830793,0.9940491383895278
0.5614715158008039,-0.6308838916942477,-0.29802354137413206,0.3929265928454697,0.5229780608788133,0.9940491383895278
0.5614715158008039,-0.6308838916942477,-0.29802354137413206,0.3929265928454697,1.0557365100830793,0.8247384028509259
0.5614715158008039,-0.6308838916942477,-0.29802354137413206,0.3929265928454697,1.0557365100830793,0.9940491383895278
0.6546045322902501,-0.48580240001901986,-0.31347502367571,0.4814218245446682,1.0152856269851327,1.2306336490437388
2.948192697484046,-0.48580240001901986,-0.31347502367571,0.4814218245446682,1.0152856269851327,1.2306336490437388
0.6546045322902501,-0.8113387227989733,-0.31347502367571,0.4814218245446682,1.0152856269851327,1.2306336490437388
0.6546045322902501,-0.48580240001901986,-0.23230606711469592,0.4814218245446682,1.0152856269851327,1.2306336490437388
0.6546045322902501,-0.48580240001901986,-0.31347502367571,0.7177354283630848,1.0152856269851327,1.2306336490437388
0.6546045322902501,-0.48580240001901986,-0.31347502367571,0.4814218245446682,0.8058883622288704,1.2306336490437388
0.6546045322902501,-0.48580240001901986,-0.31347502367571,0.4814218245446682,1.0152856269851327,1.0883929375559092
0.6546045322902501,-0.8113387227989733,-0.23230606711469592,0.7177354283630848,0.8058883622288704,1.0883929375559092
2.948192697484046,-0.48580240001901986,-0.23230606711469592,0.7177354283630848,0.8058883622288704,1.0883929375559092
2.948192697484046,-0.8113387227989733,-0.31347502367571,0.7177354283630848,0.8058883622288704,1.0883929375559092
2.948192697484046,-0.8113387227989733,-0.23230606711469592,0.4814218245446682,0.8058883622288704,1.0883929375559092
2.948192697484046,-0.8113387227989733,-0.23230606711469592,0.7177354283630848,1.0152856269851327,1.0883929375559092
2.948192697484046,-0.8113387227989733,-0.23230606711469592,0.7177354283630848,0.8058883622288704,1.2306336490437388
2.948192697484046,-0.8113387227989733,-0.23230606711469592,0.7177354283630848,0.8058883622288704,1.0883929375559092
1.486778603401035,-0.7914414625614882,-0.22744992882944645,0.6394304200075567,1.4525131611153483,1.310743683949113
1.4944083611480892,-0.7914414625614882,-0.22744992882944645,0.6394304200075567,1.4525131611153483,1.310743683949113
1.486778603401035,-0.7212902722880244,-0.22744992882944645,0.6394304200075567,1.4525131611153483,1.310743683949113
1.486778603401035,-0.7914414625614882,-0.2929541254695505,0.6394304200075567,1.4525131611153483,1.310743683949113
1.486778603401035,-0.7914414625614882,-0.22744992882944645,0.5972028314135969,1.4525131611153483,1.310743683949113
1.486778603401035,-0.7914414625614882,-0.22744992882944645,0.6394304200075567,0.5667152153328061,1.310743683949113
1.486778603401035,-0.7914414625614882,-0.22744992882944645,0.6394304200075567,1.4525131611153483,1.3812937624752522
1.486778603401035,-0.7212902722880244,-0.2929541254695505,0.5972028314135969,0.5667152153328061,1.3812937624752522
1.4944083611480892,-0.7914414625614882,-0.2929541254695505,0.5972028314135969,0.5667152153328061,1.3812937624752522
1.4944083611480892,-0.7212902722880244,-0.22744992882944645,0.5972028314135969,0.5667152153328061,1.3812937624752522
